"","GSE15209_G144.GBM_vs_Fetal.NSC","GSE15209_G174.AnaOlig_vs_Fetal.NSC"
"100506710",0.6152,0.564633333333333
"100506713",1.0212,0.0482
"100506714",0.1047,0.1757
"100506724",-0.0485,0.1081
"100506730",-0.15,-0.42405
"100506731",0.0894,0.2455
"100506733",-0.08775,0.03575
"100506742",-0.3156,-0.0981
"100506753",0.872,0.6848
"100506755",0.0838,-0.011
"100506757",0.1982,0.2322
"100506765",-0.0295,-0.0805
"100506769",-0.1363,0.0091
"100506776",-0.0614,0.1585
"100506779",-0.2423,-0.06765
"100506783",0.1134,0.218
"100506790",-0.0312,0.1109
"100506791",-0.1155,-0.0381
"100506795",0.8688,0.4729
"100506797",-0.2231,0.0151
"100506815",-0.0735,-0.2625
"100506826",-0.0012,-0.0453
"100506827",0.0239,0.1649
"100506834",0.19065,0.24345
"100506840",0.11305,0.03105
"100506844",0.5138,1.398
"100506858",0.0431,0.0818
"100506860",0.13825,0.0766
"100506866",-0.0021,-0.14595
"100506874",-0.2096,0.1424
"100506885",-0.1222,-0.0809
"100506895",-0.1584,0.1829
"100506897",-0.2075,-0.1959
"100506898",0.2805,0.1581
"100506907",-0.0373,-0.0628666666666667
"100506930",0.1697,0.3092
"100506939",0.0512,-0.0624
"100506963",0.592,0.3789
"100506965",-4.35535,-1.62635
"100506994",0.7817,0.6161
"100506999",0.0423,-0.0034
"100507006",-0.0464,-0.2081
"100507008",-1.5073,-0.5779
"100507027",0.1493,0.1304
"100507034",-0.1466,0.0244
"100507043",-0.2799,-0.0996
"100507044",-0.0268,0.012
"100507050",0.1667,0.1167
"100507057",0.0854666666666667,-0.00176666666666667
"100507058",-0.3148,-0.003
"100507059",-0.2106,-0.0289
"100507062",0.4365,0.2089
"100507064",-0.1001,-0.02655
"100507066",-0.1467,0.0128
"100507086",0.0573,-0.0449
"100507098",-0.0947,-0.0013
"100507099",-0.042,-0.0255
"100507114",-0.1187,0.0828
"100507117",0.0321,-0.0714
"100507135",-0.0548,0.0518
"100507140",0.0481,0.0119
"100507143",0.005,0.1282
"100507156",-0.2552,-0.0027
"100507171",-0.47345,-0.12135
"100507173",-0.0118,0.0965
"100507194",-0.6363,-0.256
"100507201",-0.044,-0.0145
"100507203",-0.163,-0.0071
"100507206",0.0993,0.0587
"100507217",-1.0206,-0.9696
"100507218",-1.1926,-0.7301
"100507240",-0.11375,-0.03345
"100507244",0.12205,5.00000000000014e-05
